'=$CALCULOS.C11'	'=ENTERO(A1*20)/20'	'=A1-B1+0,0001'	'=BUSCARV(A1;TA2T01_strappings;2)'	'=BUSCARV(C1;TA2T01_fractions;2)'	'=D1+E1'		0,070	'=BUSCARV(H1;TA2T01_strappings;2)'	'=H1+0,05'	'=BUSCARV(J1;TA2T01_strappings;2)'	'=K1-I1'	'=H1*20-ENTERO(H1*20)'	'=REDONDEAR(I1+L1*M1;0)'	'=SI(H1*20-ENTERO(H1*20)=0;I1;N1)'
'=$CALCULOS.C12'	'=ENTERO(A2*20)/20'	'=A2-B2+0,0001'	'=BUSCARV(A2;TA2T01_strappings;2)'	'=BUSCARV(C2;TA2T01_fractions;2)'	'=D2+E2'		0,050	'=BUSCARV(H2;TA2T01_strappings;2)'	'=H2+0,05'	'=BUSCARV(J2;TA2T01_strappings;2)'	'=K2-I2'	'=H2*20-ENTERO(H2*20)'	'=REDONDEAR(I2+L2*M2;0)'	'=SI(H2*20-ENTERO(H2*20)=0;I2;N2)'
11,00	' 342.901 '	'=B275-B274'	'=C274-C275'											
11,05	' 344.491 '	'=B276-B275'	'=C275-C276'											
11,10	' 346.081 '	'=B277-B276'	'=C276-C277'											
11,15	' 347.671 '	'=B278-B277'	'=C277-C278'											
11,20	' 349.261 '	'=B279-B278'	'=C278-C279'											
11,25	' 350.851 '	'=B280-B279'	'=C279-C280'											
11,30	' 352.441 '	'=B281-B280'	'=C280-C281'											
11,35	' 354.031 '	'=B282-B281'	'=C281-C282'											
11,40	' 355.621 '	'=B283-B282'	'=C282-C283'											
11,45	' 357.211 '	'=B284-B283'	'=C283-C284'											
11,50	' 358.801 '	'=B285-B284'	'=C284-C285'											
11,55	' 360.391 '	'=B286-B285'	'=C285-C286'											
11,60	' 361.981 '	'=B287-B286'	'=C286-C287'											
11,65	' 363.571 '	'=B288-B287'	'=C287-C288'											
11,70	' 365.161 '	'=B289-B288'	'=C288-C289'											
11,75	' 366.751 '	'=B290-B289'	'=C289-C290'											
11,80	' 368.341 '	'=B291-B290'	'=C290-C291'											
11,85	' 369.931 '	'=B292-B291'	'=C291-C292'											
11,90	' 371.521 '	'=B293-B292'	'=C292-C293'											
11,95	' 373.111 '	'=B294-B293'	'=C293-C294'											
12,00	' 374.701 '	'=B295-B294'	'=C294-C295'											
12,05	' 376.291 '	'=B296-B295'	'=C295-C296'											
12,10	' 377.881 '	'=B297-B296'	'=C296-C297'											
12,15	' 379.471 '	'=B298-B297'	'=C297-C298'											
12,20	' 381.061 '	'=B299-B298'	'=C298-C299'											
12,25	' 382.651 '	'=B300-B299'	'=C299-C300'											
12,30	' 384.241 '	'=B301-B300'	'=C300-C301'											
12,35	' 385.831 '	'=B302-B301'	'=C301-C302'											
12,40	' 387.421 '	'=B303-B302'	'=C302-C303'											
12,45	' 389.011 '	'=B304-B303'	'=C303-C304'											
12,50	' 390.601 '	'=B305-B304'	'=C304-C305'											
12,55	' 392.191 '	'=B306-B305'	'=C305-C306'											
12,60	' 393.781 '	'=B307-B306'	'=C306-C307'											
12,65	' 395.371 '	'=B308-B307'	'=C307-C308'											
12,70	' 396.961 '	'=B309-B308'	'=C308-C309'											
12,75	' 398.551 '	'=B310-B309'	'=C309-C310'											
12,80	' 400.141 '	'=B311-B310'	'=C310-C311'											
12,85	' 401.731 '	'=B312-B311'	'=C311-C312'											
12,90	' 403.321 '	'=B313-B312'	'=C312-C313'											
12,95	' 404.911 '	'=B314-B313'	'=C313-C314'											
13,00	' 406.501 '	'=B315-B314'	'=C314-C315'											
13,05	' 408.091 '	'=B316-B315'	'=C315-C316'											
13,10	' 409.681 '	'=B317-B316'	'=C316-C317'											
13,15	' 411.271 '	'=B318-B317'	'=C317-C318'											
13,20	' 412.861 '	'=B319-B318'	'=C318-C319'											
13,25	' 414.451 '	'=B320-B319'	'=C319-C320'											
13,30	' 416.041 '	'=B321-B320'	'=C320-C321'											
13,35	' 417.631 '	'=B322-B321'	'=C321-C322'											
13,40	' 419.221 '	'=B323-B322'	'=C322-C323'											
13,45	' 420.811 '	'=B324-B323'	'=C323-C324'											
13,50	' 422.401 '	'=B325-B324'	'=C324-C325'											
